session_id,user_id,session_date,page_views,session_duration_sec,bounced,device,channel
S000001,U0001,2023-12-08,10,114,0,mobile,organic_search
S000002,U0001,2023-12-20,6,1677,0,mobile,organic_search
S000003,U0001,2023-11-28,6,198,0,mobile,organic_search
S000004,U0001,2023-12-08,2,272,0,mobile,organic_search
S000005,U0001,2023-12-15,5,649,0,mobile,organic_search
S000006,U0001,2023-12-10,1,1607,0,mobile,organic_search
S000007,U0002,2023-03-19,8,1369,0,mobile,email
S000008,U0002,2023-12-20,13,989,0,mobile,email
S000009,U0002,2023-12-23,1,797,0,mobile,email
S000010,U0002,2023-08-16,12,49,0,mobile,email
S000011,U0002,2023-12-13,5,697,0,mobile,email
S000012,U0002,2023-12-31,14,830,0,mobile,email
S000013,U0002,2023-08-28,10,954,0,mobile,email
S000014,U0003,2023-05-26,2,820,0,desktop,social_media
S000015,U0003,2023-08-21,9,52,0,desktop,social_media
S000016,U0003,2023-09-12,7,351,0,desktop,social_media
S000017,U0004,2023-11-06,2,826,0,desktop,paid_search
S000018,U0004,2023-07-18,7,1705,0,desktop,paid_search
S000019,U0004,2023-07-09,4,45,0,desktop,paid_search
S000020,U0004,2023-11-22,4,1106,0,desktop,paid_search
S000021,U0004,2023-11-04,2,619,0,desktop,paid_search
S000022,U0004,2023-08-14,4,397,0,desktop,paid_search
S000023,U0004,2023-12-28,1,520,0,desktop,paid_search
S000024,U0004,2023-09-14,5,1395,0,desktop,paid_search
S000025,U0005,2023-12-06,6,186,0,desktop,social_media
S000026,U0005,2023-12-19,7,953,0,desktop,social_media
S000027,U0005,2023-12-03,11,1452,0,desktop,social_media
S000028,U0005,2023-11-29,5,264,0,desktop,social_media
S000029,U0005,2023-12-07,8,1710,0,desktop,social_media
S000030,U0005,2023-12-10,5,284,0,desktop,social_media
S000031,U0005,2023-12-10,4,1493,0,desktop,social_media
S000032,U0006,2023-08-30,12,661,0,desktop,email
S000033,U0006,2023-07-13,2,62,0,desktop,email
S000034,U0007,2023-09-16,12,372,0,desktop,organic_search
S000035,U0007,2023-10-27,6,1181,0,desktop,organic_search
S000036,U0008,2023-06-25,7,1369,0,desktop,organic_search
S000037,U0008,2023-09-01,11,1307,0,desktop,organic_search
S000038,U0008,2023-11-22,8,238,0,desktop,organic_search
S000039,U0009,2023-12-16,15,1609,0,mobile,social_media
S000040,U0009,2023-10-27,2,716,0,mobile,social_media
S000041,U0009,2023-10-18,7,1076,0,mobile,social_media
S000042,U0009,2023-08-27,10,192,0,mobile,social_media
S000043,U0009,2023-09-09,4,340,0,mobile,social_media
S000044,U0009,2023-10-17,12,703,0,mobile,social_media
S000045,U0009,2023-07-06,9,1651,0,mobile,social_media
S000046,U0010,2023-12-26,4,1671,0,tablet,organic_search
S000047,U0011,2023-11-09,3,448,0,mobile,email
S000048,U0012,2023-11-22,9,190,0,desktop,organic_search
S000049,U0012,2023-11-28,10,948,0,desktop,organic_search
S000050,U0012,2023-12-26,10,1535,0,desktop,organic_search
S000051,U0012,2023-11-30,10,1130,0,desktop,organic_search
S000052,U0013,2023-09-03,8,656,0,tablet,referral
S000053,U0013,2023-08-22,3,1494,0,tablet,referral
S000054,U0013,2023-12-01,12,796,0,tablet,referral
S000055,U0013,2023-09-01,7,1032,0,tablet,referral
S000056,U0013,2023-09-04,15,1188,0,tablet,referral
S000057,U0014,2023-10-11,9,1482,0,mobile,organic_search
S000058,U0014,2023-09-15,4,1008,0,mobile,organic_search
S000059,U0014,2023-07-21,12,1393,0,mobile,organic_search
S000060,U0014,2023-12-30,14,360,0,mobile,organic_search
S000061,U0014,2023-12-25,12,817,0,mobile,organic_search
S000062,U0015,2023-09-11,12,648,0,mobile,paid_search
S000063,U0015,2023-07-31,2,1332,0,mobile,paid_search
S000064,U0015,2023-09-25,1,374,0,mobile,paid_search
S000065,U0015,2023-12-23,5,1531,0,mobile,paid_search
S000066,U0015,2023-08-28,8,402,0,mobile,paid_search
S000067,U0015,2023-10-21,8,1313,0,mobile,paid_search
S000068,U0015,2023-11-08,8,1407,0,mobile,paid_search
S000069,U0016,2023-11-30,2,462,0,mobile,organic_search
S000070,U0017,2023-10-27,15,732,0,desktop,organic_search
S000071,U0017,2023-05-20,6,706,0,desktop,organic_search
S000072,U0017,2023-10-31,7,1515,0,desktop,organic_search
S000073,U0017,2023-12-14,9,602,0,desktop,organic_search
S000074,U0017,2023-08-19,11,414,0,desktop,organic_search
S000075,U0017,2023-05-17,13,1536,0,desktop,organic_search
S000076,U0018,2023-12-16,7,1005,0,desktop,social_media
S000077,U0018,2023-12-30,13,1784,0,desktop,social_media
S000078,U0019,2023-04-25,15,943,0,desktop,organic_search
S000079,U0019,2023-06-01,4,463,0,desktop,organic_search
S000080,U0019,2023-02-12,3,698,0,desktop,organic_search
S000081,U0019,2023-04-02,11,308,0,desktop,organic_search
S000082,U0019,2023-12-02,2,1348,0,desktop,organic_search
S000083,U0019,2023-09-09,13,507,0,desktop,organic_search
S000084,U0019,2023-07-22,12,1242,0,desktop,organic_search
S000085,U0019,2023-04-04,14,671,0,desktop,organic_search
S000086,U0020,2023-08-07,13,777,0,tablet,organic_search
S000087,U0020,2023-11-08,8,331,0,tablet,organic_search
S000088,U0020,2023-11-14,10,1009,0,tablet,organic_search
S000089,U0020,2023-08-11,3,1725,0,tablet,organic_search
S000090,U0020,2023-11-20,7,642,0,tablet,organic_search
S000091,U0020,2023-08-26,2,1111,0,tablet,organic_search
S000092,U0020,2023-12-06,10,1678,0,tablet,organic_search
S000093,U0021,2023-11-05,3,934,0,mobile,organic_search
S000094,U0021,2023-11-05,2,1419,0,mobile,organic_search
S000095,U0021,2023-09-28,11,1753,0,mobile,organic_search
S000096,U0022,2023-11-29,2,1085,0,desktop,paid_search
S000097,U0022,2023-12-15,12,1250,0,desktop,paid_search
S000098,U0022,2023-12-01,13,979,0,desktop,paid_search
S000099,U0023,2023-10-17,10,1203,0,mobile,paid_search
S000100,U0023,2023-12-09,5,1200,0,mobile,paid_search
S000101,U0023,2023-12-22,3,860,0,mobile,paid_search
S000102,U0023,2023-10-30,13,1572,0,mobile,paid_search
S000103,U0024,2023-10-26,9,945,0,desktop,paid_search
S000104,U0024,2023-11-05,2,1066,0,desktop,paid_search
S000105,U0024,2023-11-26,5,124,0,desktop,paid_search
S000106,U0025,2023-12-15,2,1387,0,mobile,paid_search
S000107,U0025,2023-10-05,10,1160,0,mobile,paid_search
S000108,U0025,2023-10-04,12,1304,0,mobile,paid_search
S000109,U0025,2023-11-08,8,200,0,mobile,paid_search
S000110,U0026,2023-09-26,10,1376,0,mobile,social_media
S000111,U0026,2023-07-24,2,583,0,mobile,social_media
S000112,U0026,2023-04-22,6,1341,0,mobile,social_media
S000113,U0026,2023-08-06,3,1664,0,mobile,social_media
S000114,U0027,2023-08-14,2,1633,0,mobile,paid_search
