session_id,user_id,session_date,page_views,session_duration_sec,bounced,device,channel
S000001,U0001,2023-11-25,5,517,0,mobile,organic_search
S000002,U0001,2023-12-02,12,1576,0,mobile,organic_search
S000003,U0002,2023-10-15,1,15,1,mobile,email
S000004,U0002,2023-07-02,1,48,1,mobile,email
S000005,U0003,2023-11-28,1,51,1,desktop,social_media
S000006,U0004,2023-06-25,6,1717,0,desktop,paid_search
S000007,U0004,2023-12-08,1,20,1,desktop,paid_search
S000008,U0004,2023-10-25,6,378,0,desktop,paid_search
S000009,U0004,2023-06-24,7,269,0,desktop,paid_search
S000010,U0004,2023-05-23,7,1795,0,desktop,paid_search
S000011,U0004,2023-07-27,14,148,0,desktop,paid_search
S000012,U0004,2023-11-02,3,835,0,desktop,paid_search
S000013,U0005,2023-12-17,11,800,0,desktop,social_media
S000014,U0005,2023-12-11,2,1414,0,desktop,social_media
S000015,U0006,2023-12-06,1,15,1,desktop,email
S000016,U0006,2023-12-27,1,16,1,desktop,email
S000017,U0006,2023-08-28,1,50,1,desktop,email
S000018,U0006,2023-12-22,7,787,0,desktop,email
S000019,U0007,2023-10-12,12,1387,0,desktop,organic_search
S000020,U0007,2023-08-23,4,1153,0,desktop,organic_search
S000021,U0007,2023-10-06,1,34,1,desktop,organic_search
S000022,U0007,2023-10-13,12,1469,0,desktop,organic_search
S000023,U0008,2023-12-14,14,1649,0,desktop,organic_search
S000024,U0008,2023-07-06,1,12,1,desktop,organic_search
S000025,U0008,2023-09-10,3,492,0,desktop,organic_search
S000026,U0008,2023-11-14,7,495,0,desktop,organic_search
S000027,U0009,2023-10-05,12,999,0,mobile,social_media
S000028,U0009,2023-08-01,1,25,1,mobile,social_media
S000029,U0009,2023-11-16,13,1257,0,mobile,social_media
S000030,U0009,2023-10-13,8,801,0,mobile,social_media
S000031,U0009,2023-08-21,4,1103,0,mobile,social_media
S000032,U0009,2023-10-30,1,13,1,mobile,social_media
S000033,U0009,2023-07-24,1,20,1,mobile,social_media
S000034,U0009,2023-12-17,3,848,0,mobile,social_media
S000035,U0010,2023-12-17,10,574,0,tablet,organic_search
S000036,U0010,2023-12-11,2,1453,0,tablet,organic_search
S000037,U0010,2023-10-16,10,1597,0,tablet,organic_search
S000038,U0010,2023-11-05,7,288,0,tablet,organic_search
S000039,U0010,2023-11-08,9,66,0,tablet,organic_search
S000040,U0010,2023-11-04,14,425,0,tablet,organic_search
S000041,U0010,2023-12-05,15,1340,0,tablet,organic_search
S000042,U0011,2023-11-10,5,373,0,mobile,email
S000043,U0011,2023-09-03,10,1654,0,mobile,email
S000044,U0011,2023-10-13,11,723,0,mobile,email
S000045,U0011,2023-10-03,1,33,1,mobile,email
S000046,U0011,2023-12-29,5,178,0,mobile,email
S000047,U0012,2023-11-02,1,41,1,desktop,organic_search
S000048,U0012,2023-10-31,10,1628,0,desktop,organic_search
S000049,U0012,2023-11-08,1,40,1,desktop,organic_search
S000050,U0012,2023-11-13,1,48,1,desktop,organic_search
S000051,U0013,2023-07-22,14,1554,0,tablet,referral
S000052,U0013,2023-11-21,1,29,1,tablet,referral
S000053,U0013,2023-09-08,12,824,0,tablet,referral
S000054,U0013,2023-09-18,9,307,0,tablet,referral
S000055,U0013,2023-07-31,1,31,1,tablet,referral
S000056,U0013,2023-06-03,5,1265,0,tablet,referral
S000057,U0013,2023-07-24,1,55,1,tablet,referral
S000058,U0014,2023-09-10,1,12,1,mobile,organic_search
S000059,U0015,2023-07-27,6,1430,0,mobile,paid_search
S000060,U0015,2023-11-10,1,18,1,mobile,paid_search
S000061,U0015,2023-12-02,5,1666,0,mobile,paid_search
S000062,U0015,2023-11-07,5,253,0,mobile,paid_search
S000063,U0015,2023-08-02,7,927,0,mobile,paid_search
S000064,U0015,2023-10-22,13,170,0,mobile,paid_search
S000065,U0016,2023-12-01,7,1699,0,mobile,organic_search
S000066,U0016,2023-12-04,1,22,1,mobile,organic_search
S000067,U0017,2023-06-10,6,1007,0,desktop,organic_search
S000068,U0017,2023-07-08,3,967,0,desktop,organic_search
S000069,U0017,2023-11-28,10,260,0,desktop,organic_search
S000070,U0017,2023-05-18,10,1772,0,desktop,organic_search
S000071,U0017,2023-05-09,14,1798,0,desktop,organic_search
S000072,U0017,2023-07-05,1,41,1,desktop,organic_search
S000073,U0017,2023-09-06,1,35,1,desktop,organic_search
S000074,U0017,2023-12-23,1,34,1,desktop,organic_search
S000075,U0018,2023-12-18,1,39,1,desktop,social_media
S000076,U0019,2023-09-02,13,1664,0,desktop,organic_search
S000077,U0019,2023-11-09,9,377,0,desktop,organic_search
S000078,U0019,2023-05-06,1,13,1,desktop,organic_search
S000079,U0019,2023-11-21,2,1591,0,desktop,organic_search
S000080,U0019,2023-07-08,1,47,1,desktop,organic_search
S000081,U0020,2023-09-23,10,382,0,tablet,organic_search
S000082,U0020,2023-06-01,3,440,0,tablet,organic_search
S000083,U0020,2023-06-04,12,541,0,tablet,organic_search
