transaction_id,user_id,session_id,product_id,product_name,category,amount,quantity,transaction_date,channel,device,country
T00001,U0001,S000004,P006,Resistance Bands,Sports,29.99,1,2023-12-08,organic_search,mobile,Germany
T00002,U0002,S000008,P008,Compression Socks,Footwear,14.99,3,2023-12-20,email,mobile,Netherlands
T00003,U0005,S000026,P005,Gym Gloves,Accessories,24.99,1,2023-12-19,social_media,desktop,Germany
T00004,U0006,S000032,P010,Jump Rope,Sports,12.99,1,2023-08-30,email,desktop,Netherlands
T00005,U0006,S000033,P001,Running Shoes,Footwear,89.99,3,2023-07-13,email,desktop,Netherlands
T00006,U0012,S000048,P008,Compression Socks,Footwear,14.99,2,2023-11-22,organic_search,desktop,Switzerland
T00007,U0015,S000066,P002,Yoga Mat,Sports,34.99,1,2023-08-28,paid_search,mobile,Switzerland
T00008,U0019,S000083,P005,Gym Gloves,Accessories,24.99,1,2023-09-09,organic_search,desktop,Germany
T00009,U0020,S000086,P003,Protein Powder,Nutrition,49.99,2,2023-08-07,organic_search,tablet,Austria
T00010,U0022,S000096,P003,Protein Powder,Nutrition,49.99,2,2023-11-29,paid_search,desktop,Germany
T00011,U0022,S000098,P005,Gym Gloves,Accessories,24.99,2,2023-12-01,paid_search,desktop,Germany
T00012,U0024,S000103,P002,Yoga Mat,Sports,34.99,1,2023-10-26,paid_search,desktop,France
T00013,U0024,S000103,P001,Running Shoes,Footwear,89.99,1,2023-10-26,paid_search,desktop,France
T00014,U0025,S000106,P004,Water Bottle,Accessories,19.99,1,2023-12-15,paid_search,mobile,Netherlands
T00015,U0027,S000115,P009,Foam Roller,Recovery,39.99,1,2023-07-08,paid_search,mobile,Germany
T00016,U0032,S000127,P005,Gym Gloves,Accessories,24.99,3,2023-12-21,email,mobile,Germany
T00017,U0032,S000128,P008,Compression Socks,Footwear,14.99,2,2023-11-03,email,mobile,Germany
T00018,U0035,S000139,P002,Yoga Mat,Sports,34.99,3,2023-11-23,direct,mobile,Germany
T00019,U0039,S000147,P005,Gym Gloves,Accessories,24.99,2,2023-10-05,email,desktop,Germany
T00020,U0041,S000157,P009,Foam Roller,Recovery,39.99,1,2023-07-12,direct,mobile,Switzerland
T00021,U0041,S000158,P008,Compression Socks,Footwear,14.99,3,2023-04-23,direct,mobile,Switzerland
T00022,U0041,S000158,P009,Foam Roller,Recovery,39.99,1,2023-04-23,direct,mobile,Switzerland
T00023,U0041,S000158,P005,Gym Gloves,Accessories,24.99,1,2023-04-23,direct,mobile,Switzerland
T00024,U0042,S000164,P004,Water Bottle,Accessories,19.99,3,2023-09-30,paid_search,mobile,Germany
T00025,U0042,S000165,P008,Compression Socks,Footwear,14.99,1,2023-07-16,paid_search,mobile,Germany
T00026,U0047,S000180,P010,Jump Rope,Sports,12.99,2,2023-12-29,organic_search,desktop,France
T00027,U0048,S000186,P009,Foam Roller,Recovery,39.99,1,2023-11-18,social_media,desktop,Germany
T00028,U0049,S000192,P003,Protein Powder,Nutrition,49.99,2,2023-09-06,organic_search,desktop,Germany
