user_id,registration_date,channel,device,country
U0001,2023-11-24,organic_search,mobile,Germany
U0002,2023-03-13,email,mobile,Netherlands
U0003,2023-02-14,social_media,desktop,Germany
U0004,2023-04-30,paid_search,desktop,Germany
U0005,2023-11-29,social_media,desktop,Germany
U0006,2023-05-23,email,desktop,Netherlands
U0007,2023-08-05,organic_search,desktop,France
U0008,2023-06-22,organic_search,desktop,Germany
U0009,2023-06-26,social_media,mobile,Switzerland
U0010,2023-10-02,organic_search,tablet,Germany
U0011,2023-05-31,email,mobile,Netherlands
U0012,2023-10-23,organic_search,desktop,Switzerland
U0013,2023-05-29,referral,tablet,Netherlands
U0014,2023-07-14,organic_search,mobile,Germany
U0015,2023-07-09,paid_search,mobile,Switzerland
U0016,2023-11-28,organic_search,mobile,Austria
U0017,2023-05-06,organic_search,desktop,France
U0018,2023-11-24,social_media,desktop,Germany
U0019,2023-01-29,organic_search,desktop,Germany
U0020,2023-05-18,organic_search,tablet,Austria
U0021,2023-06-11,organic_search,mobile,Netherlands
U0022,2023-11-26,paid_search,desktop,Germany
U0023,2023-10-15,paid_search,mobile,Germany
U0024,2023-10-26,paid_search,desktop,France
U0025,2023-09-18,paid_search,mobile,Netherlands
U0026,2023-03-20,social_media,mobile,Germany
U0027,2023-02-02,paid_search,mobile,Germany
U0028,2023-05-09,referral,tablet,Germany
U0029,2023-02-28,social_media,mobile,Germany
U0030,2023-11-25,organic_search,desktop,Germany
U0031,2023-01-02,referral,tablet,Germany
U0032,2023-09-14,email,mobile,Germany
U0033,2023-11-17,organic_search,mobile,Austria
U0034,2023-03-20,paid_search,desktop,France
U0035,2023-09-29,direct,mobile,Germany
U0036,2023-02-27,direct,tablet,Netherlands
U0037,2023-06-07,organic_search,desktop,Austria
U0038,2023-02-10,organic_search,mobile,Germany
U0039,2023-09-30,email,desktop,Germany
U0040,2023-10-09,organic_search,mobile,Austria
U0041,2023-04-19,direct,mobile,Switzerland
U0042,2023-06-09,paid_search,mobile,Germany
U0043,2023-09-22,paid_search,desktop,Germany
U0044,2023-01-11,social_media,desktop,Germany
U0045,2023-02-06,social_media,desktop,Germany
U0046,2023-01-17,direct,desktop,Germany
U0047,2023-09-06,organic_search,desktop,France
U0048,2023-10-20,social_media,desktop,Germany
U0049,2023-07-28,organic_search,desktop,Germany
U0050,2023-08-05,paid_search,tablet,Germany
U0051,2023-12-01,referral,desktop,Germany
U0052,2023-06-23,email,desktop,Germany
U0053,2023-10-02,paid_search,desktop,Germany
U0054,2023-05-08,direct,desktop,Netherlands
U0055,2023-10-09,organic_search,mobile,Austria
U0056,2023-01-08,referral,tablet,Netherlands
U0057,2023-03-27,paid_search,mobile,Netherlands
U0058,2023-01-31,organic_search,desktop,Germany
U0059,2023-08-21,organic_search,mobile,Switzerland
U0060,2023-10-12,social_media,mobile,Germany
U0061,2023-04-22,referral,mobile,Austria
U0062,2023-06-10,organic_search,mobile,Austria
U0063,2023-09-29,organic_search,tablet,Germany
U0064,2023-04-06,organic_search,desktop,Netherlands
U0065,2023-07-26,organic_search,tablet,Germany
U0066,2023-11-01,organic_search,desktop,Switzerland
U0067,2023-10-17,paid_search,tablet,Germany
U0068,2023-06-10,organic_search,desktop,Switzerland
U0069,2023-06-03,paid_search,tablet,France
U0070,2023-01-05,paid_search,tablet,France
U0071,2023-02-07,paid_search,mobile,Germany
U0072,2023-06-28,direct,tablet,Germany
U0073,2023-03-22,paid_search,mobile,Germany
U0074,2023-12-01,paid_search,mobile,Austria
U0075,2023-02-23,direct,desktop,Germany
U0076,2023-02-24,email,desktop,Germany
U0077,2023-04-18,social_media,desktop,Austria
U0078,2023-05-16,paid_search,desktop,Netherlands
U0079,2023-01-27,organic_search,desktop,Germany
U0080,2023-01-02,organic_search,desktop,France
U0081,2023-03-24,email,mobile,Germany
U0082,2023-01-05,organic_search,tablet,Switzerland
U0083,2023-03-18,paid_search,mobile,Austria
U0084,2023-03-17,paid_search,desktop,Germany
U0085,2023-01-21,direct,desktop,Germany
U0086,2023-02-22,paid_search,mobile,Netherlands
U0087,2023-11-14,email,tablet,Germany
U0088,2023-03-25,referral,mobile,Netherlands
U0089,2023-01-13,organic_search,tablet,Switzerland
U0090,2023-07-30,email,tablet,Netherlands
U0091,2023-05-17,organic_search,mobile,Germany
U0092,2023-01-20,direct,desktop,Netherlands
U0093,2023-08-24,organic_search,mobile,Netherlands
U0094,2023-04-25,organic_search,desktop,Germany
U0095,2023-02-05,referral,desktop,Austria
U0096,2023-07-24,social_media,mobile,Germany
U0097,2023-01-15,organic_search,tablet,Germany
U0098,2023-05-16,organic_search,mobile,Germany
U0099,2023-06-10,paid_search,tablet,Germany
U0100,2023-10-23,organic_search,desktop,Germany
U0101,2023-09-24,direct,mobile,Switzerland
U0102,2023-04-11,paid_search,desktop,Switzerland
U0103,2023-06-19,social_media,mobile,Germany
U0104,2023-06-03,paid_search,mobile,Germany
U0105,2023-06-01,social_media,desktop,Switzerland
U0106,2023-07-14,social_media,tablet,Austria
U0107,2023-06-04,paid_search,mobile,Germany
U0108,2023-04-18,paid_search,mobile,Switzerland
U0109,2023-08-27,paid_search,mobile,Austria
U0110,2023-03-28,social_media,desktop,Switzerland
U0111,2023-11-14,organic_search,mobile,Switzerland
U0112,2023-06-08,organic_search,desktop,Germany
U0113,2023-05-06,referral,mobile,Switzerland
U0114,2023-08-22,paid_search,mobile,Germany
U0115,2023-07-16,paid_search,desktop,Switzerland
U0116,2023-01-03,direct,tablet,Netherlands
U0117,2023-08-06,organic_search,mobile,Switzerland
U0118,2023-08-26,organic_search,desktop,Netherlands
U0119,2023-08-22,organic_search,mobile,Austria
U0120,2023-10-14,social_media,tablet,Netherlands
U0121,2023-11-10,email,tablet,Germany
U0122,2023-10-08,paid_search,desktop,Netherlands
U0123,2023-08-19,organic_search,desktop,Austria
U0124,2023-09-24,paid_search,desktop,Germany
U0125,2023-05-27,organic_search,desktop,Netherlands
U0126,2023-02-11,organic_search,desktop,Switzerland
U0127,2023-04-20,organic_search,desktop,Austria
U0128,2023-08-01,organic_search,mobile,Germany
U0129,2023-10-27,direct,desktop,Netherlands
U0130,2023-10-22,paid_search,desktop,Germany
U0131,2023-07-19,direct,tablet,Germany
U0132,2023-10-07,email,tablet,Germany
U0133,2023-05-20,paid_search,desktop,Germany
U0134,2023-07-27,social_media,mobile,Netherlands
U0135,2023-11-15,paid_search,tablet,Austria
U0136,2023-01-14,organic_search,desktop,Netherlands
U0137,2023-04-04,organic_search,desktop,Germany
U0138,2023-06-17,organic_search,tablet,Germany
U0139,2023-08-04,organic_search,desktop,Germany
U0140,2023-10-04,organic_search,tablet,Germany
U0141,2023-02-05,email,mobile,Switzerland
U0142,2023-05-07,organic_search,desktop,Germany
U0143,2023-03-06,paid_search,desktop,France
U0144,2023-08-27,social_media,mobile,Germany
U0145,2023-11-07,referral,mobile,Switzerland
U0146,2023-03-25,referral,desktop,Germany
U0147,2023-06-09,social_media,tablet,Germany
U0148,2023-04-12,organic_search,mobile,Austria
U0149,2023-02-22,social_media,desktop,Switzerland
U0150,2023-03-03,email,mobile,Germany
U0151,2023-09-30,paid_search,desktop,Austria
U0152,2023-06-24,organic_search,desktop,Germany
U0153,2023-08-10,referral,mobile,Netherlands
U0154,2023-03-20,paid_search,mobile,France
U0155,2023-05-19,social_media,tablet,Switzerland
U0156,2023-08-27,paid_search,mobile,Germany
U0157,2023-05-06,email,desktop,Netherlands
